NAME,POS,TEAM,AGE,FP
Ryan Strome,C,ANA,32,-1.8
Jonathan Quick,G,NYR,39,-1.9
Tristan Jarry,G,PIT,30,-1.9
Nick Paul,"C,LW",T.B,31,-1.9
William Carrier,LW,CAR,31,-1.9
Chris Tanev,D,TOR,36,-2
Brett Kulak,D,EDM,32,-2
Zach Whitecloud,D,VGK,29,-2
Paul Cotter,LW,N.J,26,-2
Michael Rasmussen,"C,LW",DET,26,-2
Samuel Girard,D,COL,27,-2.1
Jonas Siegenthaler,D,N.J,28,-2.1
Ivan Provorov,D,CBJ,29,-2.1
Kirby Dach,"C,RW",MTL,25,-2.1
Kaapo Kakko,RW,SEA,25,-2.1
Pius Suter,"C,LW",STL,29,-2.1
Connor Zary,"C,LW,RW",CGY,24,-2.1
Taylor Hall,LW,CAR,34,-2.1
Adam Pelech,D,NYI,31,-2.2
Ilya Lyubushkin,D,DAL,31,-2.2
Petr Mrazek,G,ANA,33,-2.2
Yakov Trenin,C,MIN,29,-2.2
Alex Iafallo,"C,LW,RW",WPG,32,-2.2
David Perron,"LW,RW",OTT,37,-2.2
Brett Pesce,D,N.J,31,-2.3
Sam Rinzel,D,CHI,21,-2.3
Dan Vladar,G,PHI,28,-2.3
Vitek Vanecek,G,UTA,28,-2.3
Elvis Merzlikins,G,CBJ,31,-2.3
Gustav Nyquist,"LW,RW",WPG,36,-2.3
Darren Raddysh,D,T.B,30,-2.4
Artyom Levshunov,D,CHI,20,-2.4
Jeff Skinner,LW,S.J,33,-2.4
Tony Deangelo,D,NYI,30,-2.5
Kevin Bahl,D,CGY,25,-2.5
Janis Moser,D,T.B,25,-2.5
Scott Mayfield,D,NYI,33,-2.5
Alexei Toropchenko,RW,STL,26,-2.5
Charlie Coyle,"C,RW",CBJ,34,-2.5
Matias MacCelli,LW,TOR,25,-2.5
Alex Killorn,"C,LW,RW",ANA,36,-2.5
Michael McCarron,C,NSH,31,-2.5
Erik Haula,"C,LW",NSH,35,-2.5
Ryan Pulock,D,NYI,31,-2.6
Jared Spurgeon,D,MIN,36,-2.6
Michael Eyssimont,"C,LW",BOS,29,-2.6
Brandon Tanev,"LW,RW",UTA,34,-2.6
Cole Smith,LW,NSH,30,-2.6
Mario Ferraro,D,S.J,27,-2.7
Jonas Brodin,D,MIN,32,-2.7
