RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
62,Dylan Guenther,N,RW,17,UTA,22,CA$7.1,8.6,0.1,0.9,0.1,102,40,,+,78,18.4,33,40,73,243,15,31,0,0,49,68,0,32,5,12,24,32%,,,,,,,,,,
63,Adin Hill,N,G,4,VGK,29,CA$6.3,3.4,0.1,0.8,0.1,58.8,-4.2,, ,,,,,,,,,,,,,,,,,,,,54,32,16,5,4,"1,374",139,0.908,2.57
64,Jake Oettinger,N,G,5,DAL,26,CA$8.3,3.3,0.1,0.7,0.1,17.8,-46.2,, ,,,,,,,,,,,,,,,,,,,,60,36,18,6,4,"1,582",158,0.909,2.64
65,Shea Theodore,N,D,25,VGK,30,CA$7.4,3,0,0.6,0.1,60.6,-4.4,, ,72,22.3,9,50,59,150,3,20,0,0,100,23,6,26,1,0,0,0%,,,,,,,,,,
66,Carter Verhaeghe,N,LW,16,FLA,30,CA$7.0,8.7,0.1,0.6,0.1,121.4,55.4,, ,81,17.2,30,37,67,257,8,19,0,0,29,83,7,41,4,20,28,42%,,,,,,,,,,
67,Brandon Montour,N,D,26,SEA,31,CA$7.1,2.9,0,0.5,0.1,96.8,29.8,, ,79,22.8,14,30,43,211,2,11,0,0,98,88,-6,53,2,0,0,0%,,,,,,,,,,
68,Kevin Fiala,N,LW,17,L.A,29,CA$7.9,8.7,0.1,0.5,0.1,98.8,30.8,, ,81,18.5,32,38,69,239,12,26,0,0,26,63,3,46,5,13,22,38%,,,,,,,,,,
69,Jake Walman,N,D,27,EDM,30,CA$3.4,2.9,0,0.5,0.1,159.5,90.5,, ,75,20.7,10,20,30,154,0,3,0,0,153,69,7,44,2,0,0,0%,,,,,,,,,,
70,Igor Shesterkin,N,G,6,NYR,29,CA$11.5,3.1,0.1,0.5,0,29.6,-40.4,,+,,,,,,,,,,,,,,,,,,,,60,34,19,7,4,"1,675",162,0.912,2.7
71,Vincent Trocheck,N,C,17,NYR,32,CA$5.6,8.6,0.1,0.5,0.1,134.8,63.8,, ,82,20.9,24,38,62,197,5,11,3,4,76,185,2,50,4,873,622,58%,,,,,,,,,,
72,Noah Dobson,N,D,28,MTL,26,CA$9.5,2.8,0,0.5,0,77.8,5.8,, ,79,22,10,35,45,179,1,8,0,1,144,69,3,32,2,0,0,0%,,,,,,,,,,
73,Tim Stützle,N,"C,LW",18,OTT,24,CA$8.4,8.6,0.1,0.4,0,43.6,-29.4,,+,81,19.5,26,54,80,183,5,26,0,0,44,113,3,37,4,193,228,46%,,,,,,,,,,
74,Linus Ullmark,N,G,7,OTT,32,CA$8.3,3,0.1,0.4,0,81.3,7.3,, ,,,,,,,,,,,,,,,,,,,,52,28,18,6,4,"1,379",134,0.911,2.59
75,MacKenzie Blackwood,N,G,8,COL,28,CA$5.3,3,0.1,0.4,0.1,28.1,-46.9,, ,,,,,,,,,,,,,,,,,,,,56,34,16,5,4,"1,464",149,0.908,2.66
76,Alex Ovechkin,N,"LW,RW",19,WSH,40,CA$9.5,8.5,0.1,0.4,0,42.2,-33.8,,-,78,17.8,37,31,68,258,13,24,0,0,22,131,0,25,6,0,3,12%,,,,,,,,,,
77,Jeremy Lauzon,N,D,29,VGK,28,CA$2.0,2.7,0,0.3,0.2,177.9,100.9,, ,71,18.6,4,9,13,85,0,0,0,0,96,249,3,71,1,0,0,0%,,,,,,,,,,
78,Shayne Gostisbehere,N,D,30,CAR,32,CA$3.2,2.7,0,0.3,0.1,127.8,49.8,, ,79,18.3,9,38,47,133,4,25,0,0,79,52,6,30,2,0,0,0%,,,,,,,,,,
79,Seth Jarvis,N,"C,LW,RW",20,CAR,24,CA$7.4,8.5,0.1,0.3,0,64.9,-14.1,, ,80,19.6,32,37,69,216,8,19,4,5,55,102,8,20,5,69,112,38%,,,,,,,,,,
80,Joel Eriksson Ek,N,C,20,MIN,29,CA$5.3,8.4,0.1,0.3,0.1,122.5,42.5,,+,75,20.3,26,33,60,240,9,18,1,1,56,135,4,43,4,711,745,49%,,,,,,,,,,
81,Miro Heiskanen,N,D,31,DAL,26,CA$8.5,2.7,0,0.3,0,87.7,6.7,, ,77,23.9,9,37,46,162,1,12,0,0,121,48,7,27,1,0,0,0%,,,,,,,,,,
