,,,,,PLAYER STATS,,,,,,,,,,,,,,,,
Player,Team,Age,Pos,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%
John Tavares,TOR,35,C,80.3125000000000000000000000,18.4354621013720000000000000,0.4463542275726510000000000,0.4944785806321260000000000,0.9408328082047770000000000,2.9765096289796000000000000,0.1474702939941940000000000,0.2991120854876060000000000,0.0001364514945639990000000,0.0002269112667825400000000,0.5499849923521120000000000,1.3222472155984000000000000,0.0713303619110282000000000,0.4953846293233170000000000,0.0651359404696628000000000,10.2073631642998000000000000,7.1977269364873200000000000,0.5864585075510850000000000
Adrian Kempe,L.A,29,RW,81.1650000000000000000000000,19.5913930420686000000000000,0.4325839521331950000000000,0.5068757632005150000000000,0.9394597153337100000000000,3.0738864894390100000000000,0.0909252026810826000000000,0.2522117936547910000000000,0.0126774792329439000000000,0.0158128491119860000000000,0.4619324522151500000000000,1.2829734921982800000000000,0.0453967391372088000000000,0.5822272992112200000000000,0.0662830577064156000000000,0.1168338884103170000000000,0.2190454553451170000000000,0.3478448156531720000000000
Zach Werenski,CBJ,28,D,73.3025000000000000000000000,26.9913866442713000000000000,0.2311458202281830000000000,0.7079823859689330000000000,0.9391282061971160000000000,3.4610712316710500000000000,0.0510119690205774000000000,0.2762800712194940000000000,0.0064493738100429600000000,0.0198509900193416000000000,1.7366679181483000000000000,0.4239339498145120000000000,0.0276163318590601000000000,0.4080572593768330000000000,0.0317879747682540000000000,0.0000000000000000000000000,0.0000000000000000000000000,0.0000000000000000000000000
Tim Stützle,OTT,24,"C,LW",80.6675000000000000000000000,19.4952947996189000000000000,0.3068430650691010000000000,0.6321088807849830000000000,0.9389519458540840000000000,2.2094635352766600000000000,0.0539633469882433000000000,0.3032280207153180000000000,0.0003239463644445380000000,0.0003674713158742830000000,0.5408225082555880000000000,1.4060982021802600000000000,0.0331987059868007000000000,0.4646076159418170000000000,0.0512614461505480000000000,2.3876891769395100000000000,2.8298102175080200000000000,0.4576309447166370000000000
Macklin Celebrini,S.J,19,C,77.0500000000000000000000000,20.0485779159408000000000000,0.3774679662545100000000000,0.5607254885117300000000000,0.9381934547662400000000000,3.3528586968498800000000000,0.1196929791319870000000000,0.2916499929428630000000000,0.0014417720463142900000000,0.0023975869409578900000000,0.7306602857159620000000000,0.5928738088356540000000000,-0.1066002293144240000000000,0.4616994617483710000000000,0.0457746695636968000000000,7.3237078665189400000000000,7.8737096430559400000000000,0.4819047619047620000000000
Dylan Larkin,DET,29,C,79.9050000000000000000000000,20.1433608750000000000000000,0.4033481803342930000000000,0.5269838424640610000000000,0.9303320227983540000000000,2.9390720574992800000000000,0.1633673736184410000000000,0.3260743696779680000000000,0.0062289623377587200000000,0.0071525084028150700000000,0.4456501292503570000000000,0.6024655364423560000000000,-0.0230874161072595000000000,0.4765108885409840000000000,0.0559397543157561000000000,10.5011935262916000000000000,8.6868952125691600000000000,0.5472766813415870000000000
Mathew Barzal,NYI,28,"C,RW",74.0000000000000000000000000,20.6708933159045000000000000,0.2921438499328000000000000,0.6365987986258440000000000,0.9287426485586440000000000,2.8279814708397900000000000,0.0631737347349721000000000,0.2601308701505010000000000,0.0001448512170795930000000,0.0002408795394110340000000,0.7038685251595060000000000,0.7601159906578270000000000,0.0242728914882095000000000,0.3959234011447760000000000,0.0443078371601829000000000,0.9857733977676160000000000,1.4187850142240700000000000,0.4099602624962230000000000
Alex Ovechkin,WSH,40,"LW,RW",77.7000000000000000000000000,17.7572678990444000000000000,0.4999366595519880000000000,0.4209629812969800000000000,0.9208996408489680000000000,3.4074827468532400000000000,0.1784852063551090000000000,0.3283139363253480000000000,0.0001511921121542000000000,0.0002514240962039930000000,0.2777712883938210000000000,1.6900986850414600000000000,0.0049802309344315700000000,0.3205509247700330000000000,0.0801264646355317000000000,0.0050495707226244000000000,0.0377751011174588000000000,0.1179126542167240000000000
Matt Boldy,MIN,24,"LW,RW",80.9675000000000000000000000,20.6252070598323000000000000,0.3716239344552930000000000,0.5455678414757120000000000,0.9171917759310050000000000,3.2860826541815900000000000,0.0920184184488989000000000,0.2761129636901490000000000,0.0023001261195260700000000,0.0038249821536141200000000,0.7269873866858830000000000,0.6473401468284900000000000,0.0394212877367917000000000,0.6110434373803070000000000,0.0571546660526104000000000,0.7367811404492800000000000,0.8315330349464020000000000,0.4697918006533300000000000
Roope Hintz,DAL,29,C,79.7900000000000000000000000,18.0800601298941000000000000,0.4038368573501590000000000,0.5099458489170550000000000,0.9137827062672130000000000,2.3578731555480200000000000,0.1067204186436490000000000,0.2777826259742450000000000,0.0111841803630610000000000,0.0191641049940665000000000,0.6040854740826410000000000,0.7345192191776180000000000,0.0989142216933344000000000,0.3950204935226240000000000,0.0662318910557626000000000,5.7046145709824600000000000,4.8098638685772400000000000,0.5425485062121010000000000
